-72,78,-45,46
33,-56,97,-62
-4,56,-61,94
28,94,25,-35
1,76,-77,-41
44,-77,-80,9
-89,-5,90,-80
-7,-10,-44,-61
34,82,-80,-94
96,-25,23,-74
-49,-10,64,59
69,-10,-22,-80
-66,16,-92,-12
-76,-25,30,-38
-27,-14,87,-59
-52,-98,-12,7
26,50,47,-91
47,-81,-8,48
31,-61,-42,50
-61,90,64,98
-82,-35,-37,48
-29,-75,-22,76
22,-70,-66,79
83,30,17,-91
45,49,-36,-49
3,27,-96,50
-38,19,-8,58
81,-78,47,-68
-63,-23,-95,-79
41,67,-46,-58
-52,-54,60,-16
92,90,-98,90
-99,54,-93,30
-44,81,22,24
-86,-52,-26,66
82,98,4,-62
49,86,70,91
86,-92,90,-28
-78,44,14,-57
-91,46,-27,-51
-1,82,91,67
99,-66,72,23
99,-19,78,10
22,-12,16,-76
-97,-16,9,-72
-4,-75,-4,-67
-37,94,-90,75
-29,-9,-74,-95
-54,93,-38,-74
-53,-48,54,24
48,27,-6,60
-13,81,15,33
61,15,-2,-40
4,7,89,-62
58,-2,99,-13
-77,89,21,-38
-68,-99,72,72
5,8,5,-71
-49,25,66,44
20,-27,-29,-91
20,-65,49,-15
12,-27,19,6
28,75,-10,97
56,6,65,-47
-68,76,-80,42
96,-37,98,69
71,-46,5,-96
-6,30,27,-80
-28,-38,89,-9
-17,32,-18,30
5,49,-35,9
65,-57,41,50
25,43,67,74
96,-18,-6,58
-82,36,-77,71
95,-49,41,14
-43,87,-13,67
70,96,92,-28
-34,-37,-15,-9
63,26,67,-92
46,-44,-56,28
49,-88,35,88
26,-20,-74,92
-83,-81,69,-19
84,75,84,61
8,-14,-41,10
31,-81,74,49
-91,-96,16,-77
-45,8,61,26
23,-4,-69,-6
57,-62,-49,14
-70,-28,-39,27
39,82,-73,-62
29,-77,-9,61
-61,94,-95,-52
64,-33,-76,-8
91,-37,81,-12
64,69,11,24
44,-68,-45,89
-69,-20,96,18
-15,-99,-25,-82
49,-71,61,13
-41,-49,-26,46
-49,9,68,28
23,17,-23,79
27,10,2,-29
-39,96,86,78
-4,-85,-32,-1
0,18,-19,-41
-9,-21,-85,-39
66,36,90,3
71,-68,-25,73
65,2,64,31
50,38,-10,43
-8,-13,-2,-89
80,62,55,99
88,-27,-65,5
-22,41,75,80
-97,58,84,64
-85,24,-55,-46
15,-9,35,-94
-74,-33,-23,-30
-30,-65,11,9
74,-37,-81,33
27,-68,6,37
-28,48,-6,36
52,73,97,63
71,63,76,-56
-53,25,86,47
-70,-56,18,-99
-32,85,49,52
81,34,47,-8
-36,50,86,-72
-28,56,58,-21
74,82,-14,33
89,34,-71,-72
41,61,-30,11
55,-63,-86,48
80,-56,-73,-40
14,63,35,-80
93,-34,38,21
-84,54,48,-4
-27,-32,75,-79
-77,42,25,87
15,-4,-61,-28
92,-1,14,-30
-91,25,33,77
9,56,-1,10
10,25,-45,46
-89,2,-12,-15
68,37,-5,-61
11,-92,-8,-64
33,73,60,-44
-29,-22,84,-96
-48,-35,96,-75
-93,-14,13,-20
12,57,-12,-25
-98,27,58,32
-85,-40,31,-7
-78,88,29,13
-29,18,10,16
84,-73,99,44
22,-19,98,96
-44,-54,89,87
-89,-83,-33,4
-82,5,-36,47
74,-87,18,-10
22,-86,87,59
-35,11,-99,6
-29,95,-17,0
-92,98,91,1
15,-95,14,-42
14,56,92,69
68,41,46,45
40,-29,-86,13
98,-77,30,-68
53,24,-74,16
63,45,30,-9
32,48,-4,85
82,-7,-3,23
48,9,-77,70
91,34,-63,-80
52,18,-38,-1
10,-56,25,-92
40,-10,-39,-67
73,-42,99,57
0,84,-71,-18
1,0,32,-42
100,57,-62,97
53,-39,68,54
-4,9,47,-57
82,-38,-88,-35
4,-11,52,-14
81,84,87,10
95,-51,-26,50
79,-71,9,-36
-69,-3,45,98
-44,43,73,-57
24,24,-7,-19
89,-75,-82,-12
47,-38,-24,78
78,-42,85,11
90,55,41,45
91,3,-70,40
-32,-84,14,-60
79,63,63,-6
91,-33,-67,-88
-82,-100,52,-20
-48,-53,-34,-79
57,97,-88,-33
3,-16,-41,28
-79,-6,-97,-25
25,56,-52,56
-3,-51,22,54
93,88,-49,65
-27,48,93,-95
80,-68,70,-82
23,80,78,46
-12,69,-68,70
-53,87,-28,61
0,6,89,28
26,-89,60,41
70,-29,-1,7
-6,53,-53,-92
92,54,-66,30
-83,61,100,-55
36,16,-73,15
91,-63,37,-50
-48,12,-93,77
-10,1,-5,100
-63,2,55,-82
-20,-8,-21,21
-13,-3,69,-29
-95,87,68,-87
-100,-6,-24,91
-29,69,40,79
61,61,-95,56
49,-58,8,7
26,34,-69,76
-32,38,40,-68
24,91,-30,-57
38,-28,2,48
-63,-31,-76,92
19,92,7,80
-17,-86,82,-20
51,66,-43,32
-33,-22,42,-26
-28,69,-84,-95
-36,-90,-82,55
-57,-30,32,-69
40,67,-42,31
-75,10,-88,-85
36,-45,73,3
37,74,80,6
26,-3,-62,79
-36,54,63,22
-54,95,-14,4
-60,44,35,46
-89,59,-53,1
74,-35,81,45
0,39,30,-52
-43,-18,54,25
-36,-74,96,32
30,44,-36,-33
45,-24,-68,-31
82,-12,-21,3
19,-6,86,-36
84,74,-43,83
-49,-13,12,60
-86,-57,55,14
-12,-8,5,-90
26,29,60,68
-40,49,-22,83
-82,28,32,20
-79,-40,66,-10
84,-44,3,-38
-96,-33,-78,56
-85,-26,55,-76
97,-99,55,-33
-42,78,-71,12
-20,-11,69,-68
-43,-77,-49,-26
96,-66,-32,-59
-28,-83,98,46
-29,93,61,-53
-29,-75,84,56
-75,-40,-26,-59
14,-22,-72,-94
-66,66,58,-12
6,-28,-33,-9
56,-43,-48,-22
-38,-12,-59,-72
-60,7,-34,-89
62,94,-60,27
-80,-39,42,-90
-83,54,-65,-27
-53,-40,4,47
-59,99,-7,-93
-80,-59,85,43
99,-54,29,-68
-30,74,-59,-61
15,20,-94,87
93,-78,45,-21
90,62,-44,85
9,-47,-50,59
83,-4,-40,-14
32,-59,-9,20
-24,33,85,26
-18,57,77,100
-2,-27,0,-42
76,41,20,-46
-15,-46,85,-33
65,-46,-44,22
-53,25,-77,32
-27,-88,-6,16
-73,-66,28,87
-40,-35,-50,-50
-62,-97,14,63
-82,90,58,-45
57,48,-58,-65
39,3,0,-56
-98,-6,37,8
-28,54,-15,-95
-96,10,74,-79
77,-28,-32,99
19,85,79,97
-33,4,-37,-59
25,-40,-97,74
-69,-56,-78,-81
15,-1,48,-34
-51,-47,-44,33
-20,-15,22,37
55,4,-60,92
29,-83,8,96
60,-11,50,-45
43,68,-17,28
-27,53,40,-78
-40,-86,3,56
-16,49,-39,-88
37,10,-8,48
-75,-93,-54,-91
-57,86,59,94
39,8,-65,54
56,93,60,-13
27,-7,87,61
5,-17,-51,-64
-52,-84,27,10
-92,24,-45,28
-26,6,99,-86
97,-84,-37,-33
13,-8,77,56
-62,-34,23,-4
-53,-8,1,-35
-16,-63,-48,13
61,-77,-26,-11
48,10,68,80
-74,-4,-10,40
33,25,68,-39
-23,32,-11,9
-11,49,-46,57
32,73,71,44
87,-50,77,9
-44,-22,-46,-6
-62,52,93,33
86,-76,44,-96
-76,-38,56,40
-24,-61,79,-31
-72,5,26,35
-2,50,-9,32
94,52,-36,-35
63,-40,-69,55
-6,-29,-14,-14
-45,21,14,87
88,28,0,-88
-13,3,34,45
-83,-52,35,-8
59,-76,1,-80
-27,48,34,33
4,-72,-13,6
-54,42,-91,-32
-10,-95,53,-50
-53,23,26,94
-15,76,-85,6
16,-87,-15,31
-52,-17,7,18
70,-84,57,-45
36,30,85,94
-74,31,57,70
-9,51,-61,48
-25,78,38,40
-23,-77,-26,22
-77,58,71,-28
53,7,-51,-85
87,-26,26,-43
-63,-61,-94,-9
99,74,15,-57
11,82,83,48
57,-100,94,24
33,93,-55,-31
-50,53,28,-60
-37,88,47,-22
-53,49,-3,1
-100,19,34,-97
10,-90,0,-69
-95,21,15,-29
95,-4,49,-22
16,-14,-36,37
74,-1,16,-42
-72,51,-57,28
77,-25,-16,79
92,30,-72,59
47,66,43,75
63,61,-52,-1
96,12,59,75
-47,-98,-49,-15
-18,-86,-3,56
-68,-100,3,54
84,-47,-96,-50
16,-97,-53,17
44,-6,90,28
91,39,61,3
94,45,-96,6
-84,-92,-24,-75
-39,53,-10,-99
-57,16,34,-10
14,-45,-81,-55
71,-60,2,-6
-6,-32,-51,-27
57,35,-42,-36
50,-92,-88,83
-70,65,39,-12
-38,-39,3,-44
-69,34,55,-84
2,-81,-15,2
-72,-77,36,-70
-11,28,-68,55
74,13,39,-43
-11,79,28,97
-32,-53,80,99
-13,-32,-100,-10
13,84,42,-36
93,91,-75,57
-58,-34,34,84
-22,30,95,-88
-91,80,32,23
-51,25,-90,86
57,26,-91,32
-68,-30,-98,-56
-90,21,78,9
55,20,-82,2
76,-97,86,-42
14,-75,-61,77
-51,81,24,21
-36,-75,5,-27
-29,28,-8,48
-54,-86,-73,40
94,-89,1,64
-29,-2,89,72
68,40,-80,53
95,-74,3,12
-78,-88,71,7
66,10,-21,43
-88,38,63,49
20,-32,19,-47
-45,46,-88,-24
82,-68,-38,-8
-35,-75,28,-61
-71,80,32,81
-16,-61,-71,-51
64,-79,55,-98
1,75,32,-72
63,22,61,-79
-31,20,-67,-51
-68,24,-85,-19
34,34,54,53
94,23,-3,26
35,8,-76,97
14,-23,-62,-94
6,-97,-57,-83
-67,42,85,-70
60,9,74,-48
84,7,-19,-19
-16,-47,1,100
-79,-66,42,-15
37,99,-59,82
-67,-73,-75,-25
-80,28,87,90
-71,-39,-2,43
